,UnixTimeStamp,eth_etherprice,eth_tx,eth_address,eth_supply,eth_marketcap,eth_hashrate,eth_difficulty,eth_blocks,eth_uncles,eth_blocksize,eth_blocktime,eth_gasprice,eth_gaslimit,eth_gasused,eth_ethersupply,eth_ens_register
527,1483747200,9.78,43622,961114,87684080.5,857.55030729,7025.7055,93.445,6108,388,1570,14.09,22843513981,4004812,1339394826,31895.0,
528,1483833600,10.27,42727,963314,87715764.875,900.840905266,7052.8143,94.53399999999999,6074,372,1557,14.13,22998988736,4005788,1452349378,31684.375,
529,1483920000,10.2,46188,965736,87747515.1875,895.024654912,7281.103,97.382,6082,378,1595,14.16,23091635207,4006987,1557850735,31750.3125,
530,1484006400,10.55,48179,968054,87778864.5625,926.0670211339999,7283.0151,98.72200000000001,6030,344,1686,14.27,22532703925,4003798,1666781505,31349.375,
531,1484092800,9.83,45221,970329,87810387.5312,863.176109432,7356.4905,99.096,6047,367,1591,14.24,22676639926,4004492,1526928420,31522.96875,
532,1484179200,9.81,50589,973959,87841944.25,861.729473093,7432.253000000001,99.976,6056,367,1697,14.21,23040753981,4007178,1613483109,31556.71875,
533,1484265600,9.78,50833,977582,87873674.5625,859.404537221,7568.8324,101.35600000000001,6106,346,1729,14.1,22119879499,4007972,1614122156,31730.3125,
534,1484352000,9.78,42044,981025,87905152.6875,859.712393284,7587.9426,102.51700000000001,6067,328,1499,14.18,22409886093,4005799,1276527305,31478.125,
535,1484438400,9.88,41748,983455,87936854.7188,868.8161246210001,7741.9086,103.641,6085,369,1498,14.14,22419878847,4005652,1333535915,31702.03125,
536,1484524800,9.59,45375,985864,87968395.0312,843.61690835,7735.3142,104.134,6052,366,1575,14.22,22395773525,4006416,1447294287,31540.3125,
537,1484611200,10.14,46671,988571,87999691.125,892.316868008,7657.6882,103.81700000000001,6002,371,1642,14.36,22742343222,4005926,1742542655,31296.09375,
538,1484697600,10.19,44994,991171,88031299.0938,897.038937765,7592.5237,102.053,6065,363,1583,14.18,22420105832,4006634,1514489339,31607.96875,
539,1484784000,10.43,43628,993689,88063420.1875,918.5014725560001,8114.4421,107.184,6158,383,1552,14.0,22228644380,4006932,1417244289,32121.09375,
540,1484870400,10.6,45775,996812,88094541.2812,933.802137581,7838.6452,106.85700000000001,5963,375,1609,14.41,22369863556,4005670,1515455427,31121.09375,
541,1484956800,10.91,43302,999192,88126065.0312,961.455369491,8044.0736,108.35799999999999,6046,368,1504,14.27,22405633901,4006350,1388291037,31523.75,
542,1485043200,10.71,47432,1001830,88157642.8438,944.1683548569999,8083.9775,108.811,6065,354,1616,14.18,22118050371,4008101,1643236317,31577.8125,
543,1485129600,10.78,46076,1004532,88189141.2812,950.678943012,8232.8818,111.109,6048,354,1612,14.22,22267116021,4007046,1597491636,31498.4375,
544,1485216000,10.51,50414,1006944,88220561.75,927.198103993,8124.3364,109.885,6037,351,1754,14.23,22081334070,4006384,1886697084,31420.46875,
545,1485302400,10.51,46256,1009369,88251985.3438,927.528365963,8145.8979,110.021,6010,387,1644,14.31,22329866070,4005629,1674958906,31423.59375,
546,1485388800,10.65,46856,1012519,88283770.0312,940.222150833,8367.5758,111.654,6081,394,1673,14.14,22478987111,4005536,1623030263,31784.6875,
547,1485475200,10.51,46680,1014907,88314884.875,928.1894400360001,8244.2883,112.70700000000001,5985,335,1658,14.36,22449741445,4004172,1559585360,31114.84375,
548,1485561600,10.54,45189,1017588,88346412.8438,931.171191373,8279.3794,111.59700000000001,6063,347,1628,14.21,22219721089,4004703,1513588184,31527.96875,
549,1485648000,10.47,42509,1019716,88377545.9688,925.3129062930001,8111.2062,110.677,5960,372,1523,14.43,22393586898,4004799,1368433239,31133.125,
550,1485734400,10.62,45369,1022347,88409461.2812,938.9084788069999,8348.0885,110.965,6094,406,1579,14.1,22234080218,4004426,1490998292,31915.3125,
551,1485820800,10.71,43649,1024108,88440875.1875,947.201773258,8339.12,112.73700000000001,6018,373,1539,14.29,23010693003,4005092,1406776443,31413.90625,
552,1485907200,10.71,44541,1026094,88472207.375,947.5373409860001,8226.0029,111.557,6009,362,1607,14.32,22534983936,4004053,1723454015,31332.1875,
553,1485993600,10.78,43709,1028070,88503622.2188,954.069047518,8407.2648,113.89,6047,331,1578,14.2,22623466807,4003996,1558834935,31414.84375,
554,1486080000,10.95,42778,1029880,88534895.5,969.457105725,8271.9789,112.321,5990,373,1568,14.38,22508635957,4005129,1519386885,31273.28125,
555,1486166400,11.32,45410,1032097,88566656.2812,1002.5745491,8427.7058,112.665,6078,385,1560,14.12,22623314914,4005458,1441528397,31760.78125,
556,1486252800,11.22,46542,1033882,88598257.8438,994.0724530069999,8773.2937,118.163,6077,338,1614,14.16,22331019732,4004770,1567592675,31601.5625,
557,1486339200,11.32,47306,1035599,88629881.4375,1003.29025787,8877.6557,119.234,6050,383,1606,14.21,22488425969,4006549,1599155373,31623.59375,
558,1486425600,11.45,51866,1037811,88661372.8438,1015.17271906,8865.7805,119.40799999999999,5998,417,1827,14.34,22381838948,4006191,1983099544,31491.40625,
559,1486512000,11.39,51089,1040358,88693080.8125,1010.21419045,8981.8497,120.24,6067,387,1764,14.18,22770223820,4007044,1831684518,31707.96875,
560,1486598400,10.94,47873,1042268,88724508.0,970.64611752,8947.4759,121.113,6029,354,1630,14.25,22865377988,4006817,1730081198,31427.1875,
561,1486684800,11.34,52222,1044332,88756004.4062,1006.49308997,9217.8017,124.421,6040,361,1735,14.23,22403621823,4006488,2034959642,31496.40625,
562,1486771200,11.43,46560,1046267,88787594.25,1014.84220228,9275.2906,124.729,6038,387,1594,14.22,22195555854,4006035,1761766435,31589.84375,
563,1486857600,11.42,45319,1048901,88819163.9375,1014.31485217,9392.2664,126.46,6059,358,1571,14.21,22626108892,4006386,1715520962,31569.6875,
564,1486944000,11.39,55990,1051104,88850898.0,1012.01172822,9522.8756,127.523,6070,382,1823,14.19,23210412106,4007567,2340786140,31734.0625,
565,1487030400,13.0,58298,1053923,88882368.9375,1155.47079619,9629.3742,129.976,6023,378,1914,14.29,22818886821,4006644,2194959803,31470.9375,
566,1487116800,12.97,55320,1056702,88914090.3438,1153.21575176,9674.344000000001,129.591,6089,361,1818,14.14,31915437681,4008972,2349687466,31721.40625,
567,1487203200,12.95,49674,1058825,88945630.1875,1151.84591093,9633.6869,129.994,6052,351,1661,14.22,22602328224,4009688,1745086369,31539.84375,
568,1487289600,12.72,49406,1060926,88976958.0,1131.78690576,9813.818000000001,133.278,6012,350,1661,14.33,22533195533,4006606,1731885385,31327.8125,
569,1487376000,12.83,49398,1063883,89008169.7188,1141.97481749,9910.4307,135.014,5999,343,1773,14.34,23057941420,4006562,1867779741,31211.71875,
570,1487462400,12.82,48227,1065920,89039436.9062,1141.48558114,10076.9868,137.219,6019,326,1635,14.31,22391656238,4006797,1612661135,31267.1875,
